Ticari Isim,Etken Madde,Formulasyon
GALLEON 24 EC (İMAL),240 g/l Oxyfluorfen,EC (Emülsiye Olabilen Konsantre)
ZUUM 10 SC (İMAL),110 g/l Etoxazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
HUESCA ULTRA (İMAL),40 g/l Imazamox,SL (Suda Çözünen Konsantre)
THEORY® (İMAL),150 g/l Cyprodinil + 100 g/l Fludioxonil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
İNVERT (İTHAL),18 g/l Abamectin,EC (Emülsiye Olabilen Konsantre)
KORFENDOR 500 SC (İMAL),500 g/l Fenhexamid,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CEBİR® (İMAL),"12,5 g/l Fludioxonil + 5 g/l Metalaxyl",SC (Akıcı Konsantre/Süspansiyon Konsantre)
SERVANT 150 OD (İMAL),150 g/l Indoxacarb,OD (Yağda Dağılabilen)
GETAFE SC 125 (İMAL),125 g/l Beta-cyfluthrin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BRİNDİSİ 48 SC (İMAL),480 g/l Diflubenzuron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
LAZİRES (İMAL),480 g/l Spinosad,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TEZKARP 150 OD (İMAL),150 g/l Indoxacarb,OD (Yağda Dağılabilen)
MELTOLAN 20 WP (İMAL),%20 Tebufenpyrad,WP (Islanabilir Toz)
CERA TRAP (İTHAL),"59,4 g/l Hidrolize Protein",AL (Seyreltilmeden Uygulanan Diğer Sıvılar)
CANSARİNE SC (İMAL),500 g/l Captan,SC (Akıcı Konsantre/Süspansiyon Konsantre)
THUNDER 48 SL (İMAL),480 g/l Glyphosate Isopropylamin Tuzu,SL (Suda Çözünen Konsantre)
SUPER LITOS (İMAL),108 g/l Haloxyfop-P-methyl ester,EC (Emülsiye Olabilen Konsantre)
GRANDSLAM PLUS (İMAL),"%37,5 Tribenuron-methyl + %37,5 Thifensulfuron-methyl",DF (Kuru Akışkan)
FUJİ 10 EW (İMAL),100 g/l Zeta-cypermethrin,--- (-)
SYL-GARD (İMAL),%50 Nicosulfuron + %25 Rimsulfuron,WG (Suda Dağılabilen Granül)
AGROFARM-HALLEY (İMAL),75 g/l Mesotrione + 30 g/l Nicosulfuron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CURENOX MICRO 50 WG (İTHAL),%50 Metalik bakıra eşdeğer bakır oksiklorid,WG (Suda Dağılabilen Granül)
SULFOPOWER 800 SC (İMAL),800 g/l Kükürt,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SUNCUPRO-BORDO (İMAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WP (Islanabilir Toz)
MULİGAN (İTHAL),100 g/l Pyriproxyfen,EC (Emülsiye Olabilen Konsantre)
MONETT (İMAL),"37,5 g/l Mesotrione + 15 g/l Nicosulfuron",OD (Yağda Dağılabilen)
RETENGO (İTHAL),200 g/l Pyraclostrobin,EC (Emülsiye Olabilen Konsantre)
MISSILLE 400 EW (İMAL),267 g/l Prochloraz + 133 g/l Tebuconazole,"EW (Emülsiyon, Suda Yağ)"
DOBERMAN 240 SC (İMAL),240 g/l Spiromesifen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
EFDAL CAPTANIM 50 F (İMAL),500 g/l Captan,SC (Akıcı Konsantre/Süspansiyon Konsantre)
DEGESCH PLATE (İTHAL),%56 Magnesium Phosphide,PB (Tabaka Yem)
DENSKA 050 SC (İMAL),50 g/l Deltamethrin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
EFDAL ROKSAN-M (İMAL),250 g/l Bentazone + 125 g/l MCPA,SL (Suda Çözünen Konsantre)
LONRICE 60 DF (İMAL),%60 Bensulfuron-methyl,DF (Kuru Akışkan)
EFDAL PROKERP 50 WP (İTHAL),%50 Propyzamide,WP (Islanabilir Toz)
CROSON 480 SL (İMAL),480 g/l Ethephon,SL (Suda Çözünen Konsantre)
VAKANA (İMAL),%20 Acetamiprid,SP (Suda Çözünen Toz)
PLAMITIN 48 SC (İMAL),480 g/l Diflubenzuron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
AGROFARM SEVİN (İMAL),100 g/l Zeta-cypermethrin,"EW (Emülsiyon, Suda Yağ)"
DRİFTÇE® 600 (İMAL),600 g/l Phosphorous Acid (mono ve di-potasyum tuzları),SL (Suda Çözünen Konsantre)
COLONY 250 EC (İMAL),250 g/l Tebuconazole,EC (Emülsiye Olabilen Konsantre)
ANACONDA 600 (İMAL),600 g/l Aclonifen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TUXIDO 24 EC (İMAL),240 g/l Clodinafop-propargyl + 60 g/l Cloquintocet-mexyl (safener),EC (Emülsiye Olabilen Konsantre)
OTASON 40 OD (İMAL),40 g/l Nicosulfuron,OD (Yağda Dağılabilen)
BEAMONT (İMAL),50 g/l Lufenuron,EC (Emülsiye Olabilen Konsantre)
OZONEEM 1 % EC (İTHAL),10 g/l Azadirachtin A,EC (Emülsiye Olabilen Konsantre)
BORDOPRO SC (İMAL),124 g/l Metalik bakıra eşdeğer bordo bulamacı,SC (Akıcı Konsantre/Süspansiyon Konsantre)
KORDİCLOFEN 600 (İMAL),600 g/l Aclonifen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
KORZAMOX ULTRA (İMAL),40 g/l Imazamox,SL (Suda Çözünen Konsantre)
KORCAMBA 420 SL (İMAL),340 g/l MCPA + 80 g/l Dicamba,SL (Suda Çözünen Konsantre)
KORTAGRAN WP (İMAL),%45 Pyridate,WP (Islanabilir Toz)
SMACH (İMAL),240 g/l Spirodiclofen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MIDFIELD 5 EC (İMAL),50 g/l Quizalofop-p-ethyl,EC (Emülsiye Olabilen Konsantre)
STANBY 48 SL (İMAL),480 g/l Glyphosate Isopropylamin Tuzu,SL (Suda Çözünen Konsantre)
FEINZIN (İTHAL),%70 Metribuzin,WG (Suda Dağılabilen Granül)
HURDLE SUPER (İMAL),75 g/l Fenoxaprop-p-ethyl + 30 g/l Fenchlorazole-ethyl (safener),"EW (Emülsiyon, Suda Yağ)"
STİN 80 WP (İMAL),%80 Fosetyl-Al,WP (Islanabilir Toz)
POLKA 400 EW (İMAL),267 g/l Prochloraz + 133 g/l Tebuconazole,"EW (Emülsiyon, Suda Yağ)"
NİBORTEM (İTHAL),"%1,5 Verticillium lecanii strain Bb-1 %1,5 - 1x10 üzeri 8 kob/ml min",SL (Suda Çözünen Konsantre)
NOSTALGİST BL (İTHAL),"Beauveria bassiana strain Bb-1 %1,5,1x10 üzeri 8 kob/ml min",SL (Suda Çözünen Konsantre)
SUMAGİC (İMAL),150 g/l Indoxacarb,SC (Akıcı Konsantre/Süspansiyon Konsantre)
LAMDEX 50 CS (İTHAL),50 g/l Lambda-cyhalothrin,CS (Kapsül Süspansiyon)
PİVOT 25 EC (İMAL),250 g/l Tebuconazole,EC (Emülsiye Olabilen Konsantre)
INPUT® EC 460 (İMAL),300 g/l Spiroxamine + 160 g/l Prothioconazole,EC (Emülsiye Olabilen Konsantre)
KOTOOX 10 SC (İMAL),110 g/l Etoxazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
EFDAL SUNOL 70 EO (İMAL),700 g/l Mineral Yağ,"EO (Emülsiyon, Yağda Su)"
BORDOPOWER SC (İMAL),124 g/l Metalik bakıra eşdeğer bordo bulamacı,SC (Akıcı Konsantre/Süspansiyon Konsantre)
EFDAL PROCAR 722 SL (İMAL),722 g/l Propamocarb-hydrochloride,SL (Suda Çözünen Konsantre)
HELİCOPTER-27 (İMAL),"%5,5 Metalik Bakıra eşdeğer Bakır Sülfat",SL (Suda Çözünen Konsantre)
EXO (İTHAL),"10 mg (Z,E)-7,9- Dodecadienyl acetate Dispenser",--- (-)
EFFORE 20 SP (İMAL),%20 Acetamiprid,SP (Suda Çözünen Toz)
PLAMEC 18 (İMAL),18 g/l Abamectin,EC (Emülsiye Olabilen Konsantre)
MENTAGARD (İMAL),250 g/l Difenoconazole,EC (Emülsiye Olabilen Konsantre)
MİRADOR FORTE 160 EC (İTHAL),100 g/l Tebuconazole + 60 g/l Azoxystrobin,EC (Emülsiye Olabilen Konsantre)
RENATA (İMAL),722 g/l Propamocarb-hydrochloride,SL (Suda Çözünen Konsantre)
CYPRA PLUS (İMAL),250 g/l Cypermethrin,EC (Emülsiye Olabilen Konsantre)
CANRAG SC 125 (İMAL),125 g/l Beta-cyfluthrin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
PLATİN CAPTAN 50 WP (İMAL),%50 Captan,WP (Islanabilir Toz)
PLACATE 80 WP (İMAL),%80 Fosetyl-Al,WP (Islanabilir Toz)
ROXEN 25 WP (İMAL),%25 Tebuconazole,WP (Islanabilir Toz)
ACS BAKIR HİDROKSİT (İMAL),%35 Metalik bakıra eşdeğer bakır hidroksit,DF (Kuru Akışkan)
MENTA INOX (İMAL),100 g/l Penconazole,EC (Emülsiye Olabilen Konsantre)
CRICKET 100 EC (İMAL),100 g/l Alpha-cypermethrin,EC (Emülsiye Olabilen Konsantre)
REDSUNNY (İMAL),50 g/l Lambda-cyhalothrin,EC (Emülsiye Olabilen Konsantre)
DECLARE 25 EC (İMAL),25 g/l Deltamethrin,EC (Emülsiye Olabilen Konsantre)
PLAGOLD 20 EC (İMAL),200 g/l Esfenvalerate,EC (Emülsiye Olabilen Konsantre)
AGRIZATE (İMAL),400 g/l Phosphorous Acid (mono ve di-potasyum tuzları),SL (Suda Çözünen Konsantre)
KORCYCURON MİX CUP® DS 70 (İMAL),%50 Captan + %20 Pencycuron,DS (Kuru Tohum İlacı)
KORFENYRAD 20 WP (İMAL),%20 Tebufenpyrad,WP (Islanabilir Toz)
VİTPHEROLURE KP (İTHAL),"0,25 mg (2-S, 12-Z)- 2-acetoxy-12-heptadecene Dispenser",--- (-)
SMC BLAPİ (İMAL),20x25 cm ebatlarında polipropilen sarı tuzak,Sarı Yapışkan Tuzak (-)
TAKUMI (İTHAL),%20 Flubendiamide,WG (Suda Dağılabilen Granül)
AGNİCOR SC (İMAL),300 g/l Pyrimethanil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SPİDOLL DF (İMAL),"%30 Cymoxanil + %22,5 Famoxadone",WG (Suda Dağılabilen Granül)
PACGROW (İMAL),480 g/l Spinosad,SC (Akıcı Konsantre/Süspansiyon Konsantre)
KLORZON 10 EC (İMAL),100 g/l Tetraconazole,EC (Emülsiye Olabilen Konsantre)
KOROKSİM 50 WG (İMAL),%50 Kresoxim-methyl,WG (Suda Dağılabilen Granül)
MENTA LAPİS (İMAL),50 g/l Lufenuron,EC (Emülsiye Olabilen Konsantre)
LARVADEF 48 SC (İMAL),480 g/l Diflubenzuron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
NOVASAT 75 WP (İMAL),%75 Cyromazine,WP (Islanabilir Toz)
LACERTA 250 SC (İMAL),250 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
DARKEVEN SC (İMAL),500 g/l Fenhexamid,SC (Akıcı Konsantre/Süspansiyon Konsantre)
RAPIDOX 50 WG (İMAL),%50 Trifloxystrobin,WG (Suda Dağılabilen Granül)
SAUPOLO 80 SC (İMAL),800 g/l Kükürt,SC (Akıcı Konsantre/Süspansiyon Konsantre)
HOCUS ULTRA (İMAL),100 g/l Buprofezin + 20 g/l Lambda-cyhalothrin,EC (Emülsiye Olabilen Konsantre)
DACRON WP (İTHAL),32000 IU/mg Bacillus thuringiensis var kurstaki strain SA-11,WP (Islanabilir Toz)
RAGE 70 WP (İMAL),%70 Thiophanate-methyl,WP (Islanabilir Toz)
BONAFLAN WG (İTHAL),%60 Benfluralin,WG (Suda Dağılabilen Granül)
EFDAL BARKOT 72 SL (İMAL),720 g/l Ethephon,SL (Suda Çözünen Konsantre)
EFDAL OCMOST 240 EC (İMAL),240 g/l Oxyfluorfen,EC (Emülsiye Olabilen Konsantre)
BAZUCA M (İMAL),250 g/l Bentazone + 125 g/l MCPA,SL (Suda Çözünen Konsantre)
KORANİL 50 WG (İMAL),%50 Cyprodinil,WG (Suda Dağılabilen Granül)
DELOS (İMAL),110 g/l Etoxazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
NAZATEM® 250 SC (İMAL),250 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ACCOLADE EC (İTHAL),1000 g/l Dimethyl Disulfide,EC (Emülsiye Olabilen Konsantre)
METTARO (İMAL),%30 Indoxacarb,WG (Suda Dağılabilen Granül)
DERIVATE (İMAL),150 g/l Indoxacarb,SC (Akıcı Konsantre/Süspansiyon Konsantre)
KHUBALA 75 WP (İMAL),%50 Thifensulfuron-methyl + %25 Tribenuron-methyl,WP (Islanabilir Toz)
NOVAGAP 600 SC (İMAL),600 g/l Aclonifen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BELLUM (İMAL),"%26,7 Boscalid + %6,7 Pyraclostrobin",WG (Suda Dağılabilen Granül)
EMAREBENO 02 EC (İMAL),20 g/l Emamectin benzoate,EC (Emülsiye Olabilen Konsantre)
GARCIA (İMAL),%55 Metiram + %5 Pyraclostrobin,WG (Suda Dağılabilen Granül)
PAREND (İMAL),%50 Tolclofos-methyl,WP (Islanabilir Toz)
EFDAL KİMETRİN 25 EC (İMAL),250 g/l Cypermethrin,EC (Emülsiye Olabilen Konsantre)
EFDAL DIFLUMIN 48 SC (İMAL),480 g/l Diflubenzuron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BENVOL 50 WG (İMAL),%50 Kresoxim-methyl,WG (Suda Dağılabilen Granül)
GİZEY 20 WP (İMAL),%20 Tebufenpyrad,WP (Islanabilir Toz)
ADMİN 10 EC (İMAL),100 g/l Pyriproxyfen,EC (Emülsiye Olabilen Konsantre)
WİPLAMBDA 5 EC (İMAL),50 g/l Lambda-cyhalothrin,EC (Emülsiye Olabilen Konsantre)
NO-FLY 20 SP (İMAL),%20 Acetamiprid,SP (Suda Çözünen Toz)
SPODHEL SG (İMAL),%5 Emamectin benzoate,SG (Suda Çözünen Granül)
TAZOLE (İMAL),110 g/l Etoxazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
AVOCARB PRO (İMAL),"%30 Cymoxanil + %22,5 Famoxadone",WG (Suda Dağılabilen Granül)
EFDAL EXZUM 450 EC (İMAL),450 g/l Prochloraz,EC (Emülsiye Olabilen Konsantre)
KORDYMET BLUE 46 WP (İMAL),%40 Metalik bakıra eşdeğer bakır oksiklorid + %6 Dimethomorp,WP (Islanabilir Toz)
NAMGOLD SÜPER SC (İMAL),"357,5 g/l Metalik bakıra eşdeğer bakır oksiklorid",SC (Akıcı Konsantre/Süspansiyon Konsantre)
AVANTİ (İMAL),150 g/l Indoxacarb,SC (Akıcı Konsantre/Süspansiyon Konsantre)
VECTOR 50 WG (İMAL),%50 Cyprodinil,WG (Suda Dağılabilen Granül)
PLATFORM 10 EC (İMAL),100 g/l Pyriproxyfen,EC (Emülsiye Olabilen Konsantre)
AGFESİN (İMAL),"65,82 g/l Metalik bakıra eşdeğer bakır sülfat",SC (Akıcı Konsantre/Süspansiyon Konsantre)
TROWEL 050 EC (İMAL),50 g/l Lufenuron,EC (Emülsiye Olabilen Konsantre)
COPERHİD SC (İMAL),"361,1 g/l Metalik bakıra eşdeğer bakır hidroksit",SC (Akıcı Konsantre/Süspansiyon Konsantre)
REVOLVER (İMAL),%5 Emamectin benzoate,SG (Suda Çözünen Granül)
MYCORIX (İMAL),200 g/l Cyhalofop-butyl,EC (Emülsiye Olabilen Konsantre)
BLOSSOM PROTECT (İTHAL),5x10 üzeri 9 Hücreler/g Aureobasidium pullulans,WG (Suda Dağılabilen Granül)
SIGMACORE (İMAL),%50 Boscalid,WG (Suda Dağılabilen Granül)
RAK 2 PRO (İTHAL),"400 mg Kapsül + (250 mg. Z,E- 7,9 Dodecadienyl acetate + 130 mg. 12 Ac Dodecyl acetate) + Pherocon Tuzak",--- (-)
GUERRA 400 (İMAL),400 g/l Phosphorous Acid (mono ve di-potasyum tuzları),SL (Suda Çözünen Konsantre)
HUCKNEY (İMAL),480 g/l Mesotrione,SC (Akıcı Konsantre/Süspansiyon Konsantre)
RESITAL DUO (İMAL),"452,42 g/l 2,4-D 2-Ethylhexyl ester + 6,25 g/l Florasulam",SE (Suspo-Emülsiyon)
BYPASS 240 SC (İMAL),240 g/l Methoxyfenozide,SC (Akıcı Konsantre/Süspansiyon Konsantre)
EVERTON 70 DF (İMAL),%70 Metiram,DF (Kuru Akışkan)
FUNGURAN-OH 50 WP (İTHAL),%50 Metalik bakıra eşdeğer bakır hidroksit,WP (Islanabilir Toz)
RHYTHM SC (İMAL),300 g/l Pyrimethanil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
DIMILIN 80 WG (İTHAL),%80 Diflubenzuron,WG (Suda Dağılabilen Granül)
TEPPEKİ (İTHAL),%50 Flonicamid,WG (Suda Dağılabilen Granül)
KANEMITE SC (İTHAL),156 g/l Acequinocyl,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TOCATA TR (İTHAL),150 g/l Prochloraz + 42 g/l Epoxiconazole,DC (Disperse Olabilen Konsantre)
SELEN (İMAL),600 g/l Aclonifen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
EFDAL FENDOOR SC 500 (İMAL),500 g/l Fenhexamid,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TIGANEX (İMAL),300 g/l Pyrimethanil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CYRO MAX 100 FS (İMAL),100 g/l Fludioxonil,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
EPTİNATE ULTRA (İMAL),310 g/l Thiophanate-methyl + 187 g/l Epoxiconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
AFFLURON (İMAL),480 g/l Diflubenzuron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ARALİX 480 SC (İMAL),480 g/l Spinosad,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SPECTRUM PLUS (İTHAL),"250 g/l Pendimethalin + 212,5 g/l Dimethenamid-p",EC (Emülsiye Olabilen Konsantre)
GRAYN (İMAL),"22,5 g/l Foramsulfuron",SC (Akıcı Konsantre/Süspansiyon Konsantre)
BANDERILLA 70 WP (İMAL),%70 Metribuzin,WP (Islanabilir Toz)
EQUITY (İMAL),"22,5 g/l Foramsulfuron",SC (Akıcı Konsantre/Süspansiyon Konsantre)
RODER 80 WP (İMAL),%80 Fosetyl-Al,WP (Islanabilir Toz)
HEROS (İMAL),250 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SAPHO (İMAL),480 g/l Spinosad,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CELTİC MAX 100 FS (İMAL),100 g/l Fludioxonil,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
DEXTEROUS (İMAL),500 g/l Fenhexamid,SC (Akıcı Konsantre/Süspansiyon Konsantre)
AGRISAVE (İMAL),722 g/l Propamocarb-hydrochloride,SL (Suda Çözünen Konsantre)
PAROMET 50 EC (İMAL),500 g/l Imazalil,EC (Emülsiye Olabilen Konsantre)
VİSTRO 500 SC (İMAL),500 g/l Clofentezine,SC (Akıcı Konsantre/Süspansiyon Konsantre)
WINSOR (İMAL),240 g/l Methoxyfenozide,SC (Akıcı Konsantre/Süspansiyon Konsantre)
KATSUMI 24 EC (İMAL),240 g/l Clodinafop-propargyl + 60 g/l Cloquintocet-mexyl (safener),EC (Emülsiye Olabilen Konsantre)
CANSETYL 300 SC (İMAL),300 g/l Pyrimethanil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MİSKET 200 SL (İMAL),200 g/l Glufosinate-ammonium tuzu,SL (Suda Çözünen Konsantre)
SMC PİT (İMAL),140 mg Ipsenol/ Dispenser + Çok hunili tuzak,--- (-)
SMC DAKOL (İMAL),23 mg Ipsdienol + 75 mg Cis verbenol/ Disp. + İskandinav tipi Üç hunili tuzak,--- (-)
CITADEL (İTHAL),"100 g/l Cyhalofop-butyl + 13,3 g/l Penoxsulam",OD (Yağda Dağılabilen)
WALNUS SUPER (İMAL),69 g/l Fenoxaprop-p-ethyl + 33 g/l Cloquintocet-mexyl (safener),"EW (Emülsiyon, Suda Yağ)"
EFDAL BETKUL 25 EC (İMAL),25 g/l Beta-cyfluthrin,EC (Emülsiye Olabilen Konsantre)
EFDAL DAYTONNA 050 (İMAL),50 g/l Lufenuron,EC (Emülsiye Olabilen Konsantre)
DICOTEX (İTHAL),"70 g/l 2,4-D + 70 g/l MCPA + 42 g/l MCPP-P + 20 g/l Dicamba",SL (Suda Çözünen Konsantre)
PUZZLE 20 WP (İMAL),%20 Pyridaben,WP (Islanabilir Toz)
SPARTA 25 WP (İMAL),%25 Tebuconazole,WP (Islanabilir Toz)
FEDORA (İMAL),200 g/l Cyhalofop-butyl,EC (Emülsiye Olabilen Konsantre)
KARATHANE GOLD (İTHAL),350 g/l Meptyldinocap,EC (Emülsiye Olabilen Konsantre)
EFDAL HALO (İMAL),200 g/l Cyhalofop-butyl,EC (Emülsiye Olabilen Konsantre)
QUARTETTE® 70 WP (İMAL),%70 Thiophanate-methyl,WP (Islanabilir Toz)
FİESTA (İMAL),480 g/l Spinosad,SC (Akıcı Konsantre/Süspansiyon Konsantre)
LASTCALL (İMAL),480 g/l Spinosad,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SMC EBUO (İTHAL),"0,76 mg E3-Z8-Z11 Tetradecetrienyl acetate (%95) + 0,04 mg E3-Z8 Tetradecaenyl acetate (%5)",--- (-)
EFDAL PYROSS (İMAL),300 g/l Pyrimethanil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
EFDAL AZBİN SC (İMAL),250 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TERVIGO 20 SC (İTHAL),20 g/l Abamectin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
JASOP (İMAL),"65,82 g/l Metalik bakıra eşdeğer bakır sülfat",SC (Akıcı Konsantre/Süspansiyon Konsantre)
PLINTO® WG (İTHAL),%40 Metalik bakıra eşdeğer bakır hidroksit,WG (Suda Dağılabilen Granül)
CLERY 080 EC (İMAL),80 g/l Clodinafop-propargyl + 20 g/l Cloquintocet-mexyl (Safener),EC (Emülsiye Olabilen Konsantre)
ZOOMER (İTHAL),360 g/l Glyphosate asite eşdeğer Glyphosate Isopropylamin Tuzu + 30 g/l Oxyfluorfen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
EFDAL TEBUSAI 20 WP (İMAL),%20 Tebufenpyrad,WP (Islanabilir Toz)
KAPAR DG (İMAL),"0,5 mg (%95 E-Z-Z,3-8-11 Tetradecatrienyl acetate + %5 E-Z,3-8 Tetradecadienyl acetate)/Dispenser",--- (-)
KAPAR IPSTYP (İMAL),1500 mg metil butenol + 100 mg Cis-verbanol + 8 mg Ipsdienol dispenser,--- (-)
TAYRANG (İMAL),"452,42 g/l 2,4-D 2-Ethylhexyl ester + 6,25 g/l Florasulam",SE (Suspo-Emülsiyon)
EXILIS (İTHAL),20 g/l 6-Benzyladenine,SL (Suda Çözünen Konsantre)
HEADLİNE SC (İMAL),250 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BİFAC PRO (İMAL),"%30 Cymoxanil + %22,5 Famoxadone",WG (Suda Dağılabilen Granül)
BAROX (İTHAL),"480 g/l Bentazone + 22,4 g/l Imazamox",SL (Suda Çözünen Konsantre)
ORVEGO (İTHAL),300 g/l Ametoctradin + 225 g/l Dimethomorph,SC (Akıcı Konsantre/Süspansiyon Konsantre)
RETENGO PLUS (İTHAL),133 g/l Pyraclostrobin + 50 g/l Epoxiconazole,SE (Suspo-Emülsiyon)
DRİFTÇE 400 (İMAL),400 g/l Phosphorous Acid (mono ve di-potasyum tuzları),SL (Suda Çözünen Konsantre)
DEXEDRINE (İMAL),25 g/l Deltamethrin,EC (Emülsiye Olabilen Konsantre)
CLINCHER DUO (İTHAL),200 g/l Cyhalofop-butyl,EC (Emülsiye Olabilen Konsantre)
CASPERTIN (İMAL),%50 Cymoxanil,WP (Islanabilir Toz)
EMPOWER (İMAL),75 g/l Mesotrione + 30 g/l Nicosulfuron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ALMARİNEİ® PLUS (İMAL),10 g/l Gibberellin A4/A7,SL (Suda Çözünen Konsantre)
ALMERİNEİ (İMAL),"18,8 g/l 6-Benzyladenine + 18,5 g/l Gibberellin A4/A7",SL (Suda Çözünen Konsantre)
KIRES ULTRA (İMAL),40 g/l Imazamox,SL (Suda Çözünen Konsantre)
YONA M (İMAL),250 g/l Bentazone + 125 g/l MCPA,SL (Suda Çözünen Konsantre)
ALOPEC EC (İMAL),18 g/l Abamectin,EC (Emülsiye Olabilen Konsantre)
POSEİDON 80 WP (İMAL),%80 Fosetyl-Al,WP (Islanabilir Toz)
PODRİCE BM (İMAL),250 g/l Bentazone + 125 g/l MCPA,SL (Suda Çözünen Konsantre)
LYBEER (İMAL),500 g/l Clofentezine,SC (Akıcı Konsantre/Süspansiyon Konsantre)
AGROSOL 80 WG (İTHAL),%80 Kükürt,WG (Suda Dağılabilen Granül)
NOVAMİTE (İMAL),110 g/l Etoxazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
EFDAL TRIBENSTAR 75 DF (İTHAL),%75 Tribenuron-methyl,DF (Kuru Akışkan)
EPOSTAR 480 SL (İMAL),480 g/l Glyphosate Isopropylamin Tuzu,SL (Suda Çözünen Konsantre)
BAZUCA 48 SL (İMAL),480 g/l Bentazone,SL (Suda Çözünen Konsantre)
CONRAD SC (İMAL),250 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
HECKATE (İMAL),600 g/l Aclonifen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
PRİMEXTRA OPTİ 500 SC (İTHAL),"312,5 g/l S-Metolachlor + 187,5 g/l Terbuthylazine",SC (Akıcı Konsantre/Süspansiyon Konsantre)
SMC CECA (İMAL),95 mg Ipsdienol/ Disp.+ Çok Hunili Kabuk Böceği Tuzağı,--- (-)
TYPIC® (İTHAL),%80 Kükürt,WG (Suda Dağılabilen Granül)
FENTHOXAN (İMAL),480 g/l Bentazone,SL (Suda Çözünen Konsantre)
CALARIS 400 SC (İTHAL),330 g/l Terbuthylazine + 70 g/l Mesotrione,SC (Akıcı Konsantre/Süspansiyon Konsantre)
RALLY ULTRA FS 120 (İMAL),120 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
TOP-COPP 5 E (İMAL),"51,4 g/l Metalik Bakıra eşdeğer Yağ ve Rosin Asitlerinin Bakır Tuzları",EC (Emülsiye Olabilen Konsantre)
STENO (İMAL),%50 Nicosulfuron + %25 Rimsulfuron,WG (Suda Dağılabilen Granül)
ANTALİA 250 EC (İMAL),250 g/l Difenoconazole,EC (Emülsiye Olabilen Konsantre)
GRANLAND PLUS (İMAL),"%37,5 Tribenuron-methyl + %37,5 Thifensulfuron-methyl",DF (Kuru Akışkan)
CAİRA (İMAL),250 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BIO NEMATON (İTHAL),1* 10 8 kob/ml (%1.5) Paecilomyces lilacinus,SL (Suda Çözünen Konsantre)
CAPSELON 50 WP (İMAL),%50 Cymoxanil,WP (Islanabilir Toz)
ELEGANS 50 WP (İMAL),%50 Tolclofos-methyl,WP (Islanabilir Toz)
PRIORITY (İTHAL),1* 10 8 kob/ml (%1.5) Paecilomyces fumosoroseus,SL (Suda Çözünen Konsantre)
CROSHE (İMAL),%20 Tebufenpyrad,WP (Islanabilir Toz)
